"city","category","sale.dollars","sale.volume","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi"
"Aurelia","Gin",85,3,92.7,16.6,5.5,32305,955,929,0,0,14,0,0,12
"Aurelia","Distilled Spirits",56,3,92.7,16.6,5.5,32305,955,929,0,0,14,0,0,12
"Aurelia","Brandy",71,6,92.7,16.6,5.5,32305,955,929,0,0,14,0,0,12
"Aurelia","Whisky",3788,280,92.7,16.6,5.5,32305,955,929,0,0,14,0,0,12
"Aurelia","Misc",421,17,92.7,16.6,5.5,32305,955,929,0,0,14,0,0,12
"Aurelia","Schnapps",109,7,92.7,16.6,5.5,32305,955,929,0,0,14,0,0,12
"Aurelia","Tequila",181,5,92.7,16.6,5.5,32305,955,929,0,0,14,0,0,12
"Aurelia","Vodka",2248,237,92.7,16.6,5.5,32305,955,929,0,0,14,0,0,12
"Avoca","Schnapps",27040,1856,89.7,22.6,3.4,31336,1478,1447,0,0,0,0,0,31
"Avoca","Whisky",149024,9148,89.7,22.6,3.4,31336,1478,1447,0,0,0,0,0,31
"Avoca","Distilled Spirits",2235,107,89.7,22.6,3.4,31336,1478,1447,0,0,0,0,0,31
"Avoca","Brandy",5395,444,89.7,22.6,3.4,31336,1478,1447,0,0,0,0,0,31
"Avoca","Gin",4568,421,89.7,22.6,3.4,31336,1478,1447,0,0,0,0,0,31
"Avoca","Amaretto",1814,271,89.7,22.6,3.4,31336,1478,1447,0,0,0,0,0,31
"Avoca","Tequila",11299,575,89.7,22.6,3.4,31336,1478,1447,0,0,0,0,0,31
"Avoca","Vodka",50468,4955,89.7,22.6,3.4,31336,1478,1447,0,0,0,0,0,31
"Avoca","Rum",63808,4134,89.7,22.6,3.4,31336,1478,1447,0,0,0,0,0,31
"Avoca","Misc",28660,1500,89.7,22.6,3.4,31336,1478,1447,0,0,0,0,0,31
"Baldwin","Gin",353,46,90.9,7.3,6.7,19688,146,145,0,0,0,0,0,1
"Baldwin","Schnapps",1762,126,90.9,7.3,6.7,19688,146,145,0,0,0,0,0,1
"Baldwin","Whisky",14921,1173,90.9,7.3,6.7,19688,146,145,0,0,0,0,0,1
"Baldwin","Brandy",622,45,90.9,7.3,6.7,19688,146,145,0,0,0,0,0,1
"Baldwin","Vodka",5141,615,90.9,7.3,6.7,19688,146,145,0,0,0,0,0,1
"Baldwin","Misc",2588,111,90.9,7.3,6.7,19688,146,145,0,0,0,0,0,1
"Baldwin","Rum",2259,137,90.9,7.3,6.7,19688,146,145,0,0,0,0,0,1
"Baldwin","Distilled Spirits",196,10,90.9,7.3,6.7,19688,146,145,0,0,0,0,0,1
"Baldwin","Amaretto",43,4,90.9,7.3,6.7,19688,146,145,0,0,0,0,0,1
"Baldwin","Tequila",385,18,90.9,7.3,6.7,19688,146,145,0,0,0,0,0,1
"Bancroft","Schnapps",18487,1277,95.8,17.2,2.7,30919,712,672,24,0,0,0,8,8
"Bancroft","Misc",30033,1446,95.8,17.2,2.7,30919,712,672,24,0,0,0,8,8
"Bancroft","Vodka",45493,3744,95.8,17.2,2.7,30919,712,672,24,0,0,0,8,8
